Favorite-R/G,Favorite-PA,Favorite-AB,Favorite-H,Favorite-HR,Favorite-BB,Favorite-SO,Favorite-BA,Favorite-OBP,Favorite-SLG,Favorite-OPS,Favorite-TB,Favorite-HBP,Favorite-LOB,Result,Distance,R/G,PA,AB,H,HR,BB,SO,BA,OBP,SLG,OPS,TB,HBP,LOB,ERA_Starting,ERA_Opposing,WHIP_Starting,WHIP_Opposing,IP_Starting,IP_Opposing,K_Starting ,K_Opposing,HR_Starting,HR_Opposing
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.5,2.7,0.89,1.65,212.1,6.2,326.0,5.0,29.0,0.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,3039.78,4.18,6087,5513,1402,176,430,1221,0.254,0.314,0.408,0.722,2250,70,1084,2.96,5.46,1.01,1.52,104.1,161.2,93.5,116.0,10.5,36.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1096.82,4.69,6200,5498,1369,205,525,1380,0.249,0.321,0.409,0.73,2250,80,1101,3.95,2.75,1.1,0.97,41.0,196.1,40.0,231.0,6.0,25.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1096.82,4.69,6200,5498,1369,205,525,1380,0.249,0.321,0.409,0.73,2250,80,1101,2.5,3.7,0.89,1.27,212.1,48.2,326.0,52.0,29.0,6.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1096.82,4.69,6200,5498,1369,205,525,1380,0.249,0.321,0.409,0.73,2250,80,1101,3.98,3.35,1.34,1.41,167.1,174.2,140.0,136.0,23.0,22.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,1,1260.34,4.42,6195,5475,1415,150,540,1388,0.258,0.33299999999999996,0.406,0.74,2225,101,1156,2.58,4.29,0.8,1.27,223.0,107.0,300.0,147.0,36.0,14.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1260.34,4.42,6195,5475,1415,150,540,1388,0.258,0.33299999999999996,0.406,0.74,2225,101,1156,2.5,3.05,0.89,1.08,212.1,194.2,326.0,240.0,29.0,15.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1260.34,4.42,6195,5475,1415,150,540,1388,0.258,0.33299999999999996,0.406,0.74,2225,101,1156,4.7,1.78,1.23,0.89,74.2,60.2,82.0,76.0,12.0,4.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1260.34,4.42,6195,5475,1415,150,540,1388,0.258,0.33299999999999996,0.406,0.74,2225,101,1156,3.98,3.85,1.34,1.05,167.1,133.1,140.0,114.0,23.0,23.0
4.92,6146.0,5453.0,1390.0,205.0,565.0,1197.0,0.255,0.32899999999999996,0.425,0.754,2319.0,61.0,1052.0,0,1794.85,5.05,6300,5595,1447,216,554,1189,0.259,0.332,0.434,0.7659999999999999,2430,80,1147,3.86,3.38,1.17,1.13,128.1,192.0,142.0,231.0,12.0,21.0
